Team,Index,tournamentSeed,,,,,,,
,,,,Loyola (IL),160,,,,
,,,,L-MD,161,,,,
,,,,Loyola (MD),161,,,,
,,,,Loyola MD,161,,,,
,,,,LMU,162,,,,
,,,,Loy Marymount,162,,,,
,,,,Loy Marymount,162,,,,
,,,,Loyola Marymount,162,,,,
,,,,ME,163,,,,
,,,,Maine,163,,,,
,,,,MAN,164,,,,
,,,,Manhattan,164,,,,
,,,,MRST,165,,,,
,,,,Marist,165,,,,
,,,,MARQ,166,,,,
,,,,Marquette,166,,,,
,,,,MRSH,167,,,,
,,,,Marshall,167,,,,
,,,,MD,168,,,,
,,,,Maryland,168,,,,
,,,,MD E Shore,169,,,,
,,,,MD E Shore,169,,,,
,,,,Maryland Eastern Shore,169,,,,
,,,,UMES,169,,,,
,,,,MASS,170,,,,
,,,,Massachusetts,170,,,,
,,,,Umass,170,,,,
,,,,UMass,170,,,,
,,,,MCN,171,,,,
,,,,McNeese,171,,,,
,,,,McNeese St.,171,,,,
,,,,McNeese State,171,,,,
,,,,McNeese St,171,,,,
,,,,MEM,172,,,,
,,,,Memphis,172,,,,
,,,,MER,173,,,,
,,,,Mercer,173,,,,
,,,,MERC,174,,,,
,,,,Mercyhurst,174,,,,
,,,,Mercyhurst(H) 356 Chicago St.,175,,,,
,,,,MRMK,176,,,,
,,,,Merrimack,176,,,,
,,,,MIA,177,,,,
,,,,Miami,177,,,,
,,,,Miami (FL),177,,,,
,,,,Miami FL,177,,,,
,,,,M-OH,178,,,,
,,,,Miami (OH),178,,,,
,,,,Miami OH,178,,,,
,,,,MICH,179,,,,
,,,,Michigan,179,,,,
,,,,MSU,180,,,,
,,,,Michigan St,180,,,,
,,,,Michigan St.,180,,,,
,,,,Michigan State,180,,,,
,,,,MichiganState,180,,,,
,,,,MTSU,181,,,,
,,,,MTSU,181,,,,
,,,,MTSU,181,,,,
,,,,Middle Tennessee,181,,,,
,,,,Middle Tennessee,181,,,,
,,,,Middle Tennessee,181,,,,
,,,,Middle Tennessee,181,,,,
,,,,Middle Tennessee St,181,,,,
,,,,MILW,182,,,,
,,,,Milwaukee,182,,,,
,,,,WI Milwaukee,182,,,,
,,,,WI Milwaukee,182,,,,
,,,,WI Milwaukee,182,,,,
,,,,Wisconsin Milwaukee,182,,,,
,,,,Wisconsin Milwaukee,182,,,,
,,,,Wisconsin Milwaukee,182,,,,
,,,,Wisconsin Milwaukee,182,,,,
,,,,MINN,183,,,,
,,,,Minnesota,183,,,,
,,,,MISS,184,,,,
,,,,Mississippi,184,,,,
,,,,MSST,185,,,,
,,,,Mississippi St.,185,,,,
,,,,Mississippi State,185,,,,
,,,,Mississippi St,185,,,,
,,,,MS Valley St.,186,,,,
,,,,MS Valley St.,186,,,,
,,,,MVSU,186,,,,
,,,,Mississippi Valley St.,186,,,,
,,,,Mississippi Valley State,186,,,,
,,,,MS Valley St,186,,,,
,,,,Mississippi Valley St,186,,,,
,,,,Mississippi Valley State,186,,,,
,,,,MIZ,187,,,,
,,,,Missouri,187,,,,
,,,,MOST,188,,,,
,,,,Missouri St.,188,,,,
,,,,Missouri State,188,,,,
,,,,Ole Miss,188,,,,
,,,,Missouri St,188,,,,
,,,,MONM,189,,,,
,,,,Monmouth,189,,,,
,,,,Monmouth NJ,189,,,,
,,,,Monmouth NJ,189,,,,
,,,,MONT,190,,,,
,,,,Montana,190,,,,
,,,,MTST,191,,,,
,,,,Montana St,191,,,,
,,,,Montana St.,191,,,,
,,,,Montana State,191,,,,
,,,,MontanaState,191,,,,
,,,,MORE,192,,,,
,,,,Morehead St,192,,,,
,,,,Morehead St.,192,,,,
,,,,Morehead State,192,,,,
,,,,MORG,193,,,,
,,,,Morgan St.,193,,,,
,,,,Morgan State,193,,,,
,,,,Morgan St,193,,,,
,,,,MSM,194,,,,
,,,,Mount St Marys,194,,,,
,,,,Mount St. Mary's,194,,,,
,,,,Mount St. Mary’s,194,,,,
,,,,Mt St Mary's,194,,,,
,,,,Mount St Mary's,194,,,,
,,,,MUR,195,,,,
,,,,Murray St,195,,,,
,,,,Murray St.,195,,,,
,,,,Murray State,195,,,,
,,,,MurrayState,195,,,,
,,,,N.C. State,196,,,,
,,,,NC St.ate,196,,,,
,,,,NC St.ate,196,,,,
,,,,NC St.ate,196,,,,
,,,,NC State,196,,,,
,,,,NC State,196,,,,
,,,,NC State,196,,,,
,,,,NC State,196,,,,
,,,,NCSU,196,,,,
,,,,North Carolina St,196,,,,
,,,,North Carolina State,196,,,,
,,,,NJIT,197,,,,
,,,,NAVY,198,,,,
,,,,Navy,198,,,,
,,,,NEB,199,,,,
,,,,Nebraska,199,,,,
,,,,Nebraska Omaha,200,,,,
,,,,OMA,200,,,,
,,,,Omaha,200,,,,
,,,,NE Omaha,200,,,,
,,,,Nebraska Omaha,200,,,,
,,,,NEV,201,,,,
,,,,Nevada,201,,,,
,,,,New Hampshire,202,,,,
,,,,UNH,202,,,,
,,,,Morris Brown,202,,,,
,,,,NHVN,203,,,,
,,,,New Haven,203,,,,
,,,,New Mexico,204,,,,
,,,,UNM,204,,,,
,,,,NMSU,205,,,,
,,,,New Mexico St,205,,,,
,,,,New Mexico St.,205,,,,
,,,,New Mexico State,205,,,,
,,,,NewMexicoState,205,,,,
,,,,UNO,206,,,,
,,,,New Orleans,206,,,,
,,,,NIA,207,,,,
,,,,Niagara,207,,,,
,,,,NICH,208,,,,
,,,,Nicholls,208,,,,
,,,,Nicholls St.,208,,,,
,,,,Nicholls St,208,,,,
,,,,NORF,209,,,,
,,,,Norfolk St,209,,,,
,,,,Norfolk St.,209,,,,
,,,,Norfolk State,209,,,,
,,,,NorfolkState,209,,,,
,,,,North Alabama,210,,,,
,,,,UNA,210,,,,
,,,,North Carolina,211,,,,
,,,,NorthCarolina,211,,,,
,,,,UNC,211,,,,
,,,,NC A&T,212,,,,
,,,,NCAT,212,,,,
,,,,North Carolina A&T,212,,,,
,,,,NC Central,213,,,,
,,,,NCCU,213,,,,
,,,,North Carolina Central,213,,,,
,,,,North Dakota,214,,,,
,,,,UND,214,,,,
,,,,N Dakota St.,215,,,,
,,,,N Dakota St.,215,,,,
,,,,N Dakota St.,215,,,,
,,,,NDSU,215,,,,
,,,,North Dakota St.,215,,,,
,,,,North Dakota St.,215,,,,
,,,,North Dakota St.,215,,,,
,,,,North Dakota St.,215,,,,
,,,,North Dakota State,215,,,,
,,,,N Dakota St,215,,,,
,,,,North Florida,216,,,,
,,,,UNF,216,,,,
,,,,North Texas,217,,,,
,,,,UNT,217,,,,
,,,,NE,218,,,,
,,,,Northeastern,218,,,,
,,,,NAU,219,,,,
,,,,Northern Arizona,219,,,,
,,,,N Colorado,220,,,,
,,,,N Colorado,220,,,,
,,,,N Colorado,220,,,,
,,,,Northern Colorado,220,,,,
,,,,Northern Colorado,220,,,,
,,,,Northern Colorado,220,,,,
,,,,Northern Colorado,220,,,,
,,,,UNCO,220,,,,
,,,,N Illinois,221,,,,
,,,,NIU,221,,,,
,,,,Northern Illinois,221,,,,
,,,,Northern Iowa,222,,,,
,,,,UNI,222,,,,
,,,,N Kentucky,223,,,,
,,,,N Kentucky,223,,,,
,,,,NKU,223,,,,
,,,,Northern Kentucky,223,,,,
,,,,NU,224,,,,
,,,,Northwestern,224,,,,
,,,,NWST,225,,,,
,,,,Northwestern LA,225,,,,
,,,,Northwestern LA,225,,,,
,,,,Northwestern St.,225,,,,
,,,,Northwestern State,225,,,,
,,,,ND,226,,,,
,,,,Notre Dame,226,,,,
,,,,NotreDame,226,,,,
,,,,OAK,227,,,,
,,,,Oakland,227,,,,
,,,,OHIO,228,,,,
,,,,Ohio,228,,,,
,,,,OSU,229,,,,
,,,,Ohio St,229,,,,
,,,,Ohio St.,229,,,,
,,,,Ohio State,229,,,,
,,,,OhioState,229,,,,
,,,,OU,230,,,,
,,,,Oklahoma,230,,,,
,,,,OKST,231,,,,
,,,,Oklahoma St,231,,,,
,,,,Oklahoma St.,231,,,,
,,,,Oklahoma State,231,,,,
,,,,ODU,232,,,,
,,,,Old Dominion,232,,,,
,,,,ORU,233,,,,
,,,,Oral Roberts,233,,,,
,,,,ORE,234,,,,
,,,,Oregon,234,,,,
,,,,ORST,235,,,,
,,,,Oregon St,235,,,,
,,,,Oregon St.,235,,,,
,,,,Oregon State,235,,,,
,,,,Oregon(A) 53 Washington,236,,,,
,,,,PAC,237,,,,
,,,,Pacific,237,,,,
,,,,PENN,238,,,,
,,,,Penn,238,,,,
,,,,Pennsylvania,238,,,,
,,,,PSU,239,,,,
,,,,Penn St.,239,,,,
,,,,Penn State,239,,,,
,,,,Penn St,239,,,,
,,,,PEPP,240,,,,
,,,,Pepperdine,240,,,,
,,,,PITT,241,,,,
,,,,Pittsburgh,241,,,,
,,,,Pitt,241,,,,
,,,,PORT,242,,,,
,,,,Portland,242,,,,
,,,,PRST,243,,,,
,,,,Portland St,243,,,,
,,,,Portland St.,243,,,,
,,,,Portland State,243,,,,
,,,,PV,244,,,,
,,,,Prairie View,244,,,,
,,,,Prairie View A&M,244,,,,
,,,,PRES,245,,,,
,,,,Presbyterian,245,,,,
,,,,PRIN,246,,,,
,,,,Princeton,246,,,,
,,,,PROV,247,,,,
,,,,Providence,247,,,,
,,,,PUR,248,,,,
,,,,Purdue,248,,,,
,,,,Fort Wayne,249,,,,
,,,,IPFW,249,,,,
,,,,PFW,249,,,,
,,,,PFW,249,,,,
,,,,Purdue Fort Wayne,249,,,,
,,,,QUC,250,,,,
,,,,Queens,250,,,,
,,,,Queens NC,250,,,,
,,,,Queens NC,250,,,,
,,,,QUIN,251,,,,
,,,,Quinnipiac,251,,,,
,,,,RAD,252,,,,
,,,,Radford,252,,,,
,,,,Rhode Island,253,,,,
,,,,URI,253,,,,
,,,,RICE,254,,,,
,,,,Rice,254,,,,
,,,,RICH,255,,,,
,,,,Richmond,255,,,,
,,,,RID,256,,,,
,,,,Rider,256,,,,
,,,,RMU,257,,,,
,,,,Robert Morris,257,,,,
,,,,RUTG,258,,,,
,,,,Rutgers,258,,,,
,,,,SIU Edwardsville,259,,,,
,,,,SIUE,259,,,,
,,,,SIU-Edwardsville,259,,,,
,,,,SMU,260,,,,
,,,,CS Sacramento,261,,,,
,,,,SAC,261,,,,
,,,,Sacramento St.,261,,,,
,,,,Sacramento State,261,,,,
,,,,SHU,262,,,,
,,,,Sacred Heart,262,,,,
,,,,SFPA,263,,,,
,,,,Saint Francis,263,,,,
,,,,Saint Francis (PA),263,,,,
,,,,Saint Francis (PA),263,,,,
,,,,Saint Francis (PA),263,,,,
,,,,St. Francis,263,,,,
,,,,St. Francis (PA),263,,,,
,,,,St. Francis PA,263,,,,
,,,,St Francis PA,263,,,,
,,,,JOES,264,,,,
,,,,Saint Joseph's,264,,,,
,,,,Saint Joseph's,264,,,,
,,,,Saint Joseph's,264,,,,
,,,,Saint Joseph's,264,,,,
,,,,St Joseph's PA,264,,,,
,,,,St Joseph's PA,264,,,,
,,,,St Joseph's PA,264,,,,
,,,,St Josephs,264,,,,
,,,,St. Joseph's,264,,,,
,,,,St. Joseph’s,264,,,,
,,,,SLU,265,,,,
,,,,Saint Louis,265,,,,
,,,,Saint Louis,265,,,,
,,,,Saint Louis,265,,,,
,,,,Saint Louis,265,,,,
,,,,St Louis,265,,,,
,,,,St Louis,265,,,,
,,,,St Louis,265,,,,
,,,,SMC,266,,,,
,,,,Saint Mary's,266,,,,
,,,,SaintMarys,266,,,,
,,,,St Mary's CA,266,,,,
,,,,St Mary's CA,266,,,,
,,,,St Mary's CA,266,,,,
,,,,St Marys,266,,,,
,,,,St. Mary's,266,,,,
,,,,St. Mary's,266,,,,
,,,,St. Mary's,266,,,,
,,,,St. Mary's,266,,,,
,,,,St. Mary’s,266,,,,
,,,,SPU,267,,,,
,,,,Saint Peter's,267,,,,
,,,,SaintPeters,267,,,,
,,,,St Peter's,267,,,,
,,,,St Peter's,267,,,,
,,,,St. Peter's,267,,,,
,,,,St. Peter’s,267,,,,
,,,,SHSU,268,,,,
,,,,Sam Houston St.,268,,,,
,,,,Sam Houston State,268,,,,
,,,,Sam Houston,268,,,,
,,,,Sam Houston St,268,,,,
,,,,SAM,269,,,,
,,,,Samford,269,,,,
,,,,San Diego,270,,,,
,,,,USD,270,,,,
,,,,SDSU,271,,,,
,,,,San Diego St,271,,,,
,,,,San Diego St.,271,,,,
,,,,San Diego State,271,,,,
,,,,SanDiegoState,271,,,,
,,,,SF,272,,,,
,,,,San Francisco,272,,,,
,,,,SanFrancisco,272,,,,
,,,,SJSU,273,,,,
,,,,San Jose St.,273,,,,
,,,,San Jose State,273,,,,
,,,,San Jose St,273,,,,
,,,,SCU,274,,,,
,,,,Santa Clara,274,,,,
,,,,SAV,275,,,,
,,,,Savannah St.,275,,,,
,,,,Savannah St,275,,,,
,,,,SEA,276,,,,
,,,,Seattle,276,,,,
,,,,HALL,277,,,,
,,,,Seton Hall,277,,,,
,,,,SetonHall,277,,,,
,,,,SIE,278,,,,
,,,,Siena,278,,,,
,,,,South Alabama,279,,,,
,,,,USA,279,,,,
,,,,SC,280,,,,
,,,,South Carolina,280,,,,
,,,,S Carolina St.,281,,,,
,,,,S Carolina St.,281,,,,
,,,,S Carolina St.,281,,,,
,,,,SCST,281,,,,
,,,,South Carolina St.,281,,,,
,,,,South Carolina St.,281,,,,
,,,,South Carolina St.,281,,,,
,,,,South Carolina St.,281,,,,
,,,,South Carolina State,281,,,,
,,,,S Carolina St,281,,,,
,,,,SDAK,282,,,,
,,,,South Dakota,282,,,,
,,,,S Dakota St.,283,,,,
,,,,S Dakota St.,283,,,,
,,,,S Dakota St.,283,,,,
,,,,SDST,283,,,,
,,,,South Dakota St,283,,,,
,,,,South Dakota St.,283,,,,
,,,,South Dakota St.,283,,,,
,,,,South Dakota St.,283,,,,
,,,,South Dakota St.,283,,,,
,,,,South Dakota State,283,,,,
,,,,SouthDakotaState,283,,,,
,,,,S Dakota St,283,,,,
,,,,South Florida,284,,,,
,,,,USF,284,,,,
,,,,South Florida(H) 85 Florida Atlantic,285,,,,
,,,,SE Missouri St.,286,,,,
,,,,SE Missouri St.,286,,,,
,,,,SEMO,286,,,,
,,,,Southeast Missouri,286,,,,
,,,,Southeast Missouri St.,286,,,,
,,,,Southeast Missouri State,286,,,,
,,,,SE Missouri St,286,,,,
,,,,SE Louisiana,287,,,,
,,,,SE Louisiana,287,,,,
,,,,SELA,287,,,,
,,,,Southeastern Louisiana,287,,,,
,,,,SOU,288,,,,
,,,,Southern,288,,,,
,,,,Southern Univ,288,,,,
,,,,Southern Univ,288,,,,
,,,,S Illinois,289,,,,
,,,,S Illinois,289,,,,
,,,,SIU,289,,,,
,,,,Southern Illinois,289,,,,
,,,,Southern Illinois(A) 283 Evansville,290,,,,
,,,,Southern Indiana,291,,,,
,,,,Southern Indiana,291,,,,
,,,,Southern Indiana,291,,,,
,,,,USI,291,,,,
,,,,Southern Miss,292,,,,
,,,,USM,292,,,,
,,,,SUU,293,,,,
,,,,Southern Utah,293,,,,
,,,,St Bonaventure,294,,,,
,,,,St. Bonaventure,294,,,,
,,,,SBU,294,,,,
,,,,St. Francis NY,295,,,,
,,,,St Francis NY,295,,,,
,,,,SJU,296,,,,
,,,,St John's,296,,,,
,,,,St John's,296,,,,
,,,,St John's,296,,,,
,,,,St. John's,296,,,,
,,,,St. John's,296,,,,
,,,,St. John's,296,,,,
,,,,St. John's,296,,,,
,,,,St. Johns,296,,,,
,,,,St. John’s,296,,,,
,,,,St. John's (NY),296,,,,
,,,,STMN,297,,,,
,,,,St Thomas MN,297,,,,
,,,,St Thomas MN,297,,,,
,,,,St Thomas MN,297,,,,
,,,,St. Thomas,297,,,,
,,,,St. Thomas,297,,,,
,,,,St. Thomas,297,,,,
,,,,St. Thomas,297,,,,
,,,,St. Thomas - Minnesota,297,,,,
,,,,St. Thomas – Minnesota,297,,,,
,,,,STAN,298,,,,
,,,,Stanford,298,,,,
,,,,SF Austin,299,,,,
,,,,SF Austin,299,,,,
,,,,SF Austin,299,,,,
,,,,SFA,299,,,,
,,,,Stephen F. Austin,299,,,,
,,,,STET,300,,,,
,,,,Stetson,300,,,,
,,,,STO,301,,,,
,,,,Stonehill,301,,,,
,,,,STBK,302,,,,
,,,,Stony Brook,302,,,,
,,,,SYR,303,,,,
,,,,Syracuse,303,,,,
,,,,TCU,304,,,,
,,,,TAR,305,,,,
,,,,Tarleton St.,305,,,,
,,,,Tarleton St.,305,,,,
,,,,Tarleton St.,305,,,,
,,,,Tarleton State,305,,,,
,,,,Tarleton St,305,,,,
,,,,Team,306,,,,
,,,,TEM,307,,,,
,,,,Temple,307,,,,
,,,,TENN,308,,,,
,,,,Tennessee,308,,,,
,,,,TN Martin,309,,,,
,,,,TN Martin,309,,,,
,,,,Tennessee Martin,309,,,,
,,,,Tennessee-Martin,309,,,,
,,,,UTM,309,,,,
,,,,TNST,310,,,,
,,,,Tennessee St.,310,,,,
,,,,Tennessee State,310,,,,
,,,,Tennessee St,310,,,,
,,,,TNTC,311,,,,
,,,,Tennessee Tech,311,,,,
,,,,TEX,312,,,,
,,,,Texas,312,,,,
,,,,TA&M,313,,,,
,,,,Texas A&M,313,,,,
,,,,Texas AM,313,,,,
,,,,AMCC,314,,,,
,,,,TAM C. Christi,314,,,,
,,,,TAM C. Christi,314,,,,
,,,,Texas A&M CC,314,,,,
,,,,Texas A&M Corpus Chris,314,,,,
,,,,Texas A&M Corpus Christi,314,,,,
,,,,TexasA&MCC,314,,,,
,,,,Texas A&M-Corpus Christi,314,,,,
,,,,TX Southern,315,,,,
,,,,TX Southern,315,,,,
,,,,TXSO,315,,,,
,,,,Texas Southern,315,,,,
,,,,TexasSouthern,315,,,,
,,,,TXST,316,,,,
,,,,Texas St.,316,,,,
,,,,Texas State,316,,,,
,,,,Texas St,316,,,,
,,,,TTU,317,,,,
,,,,Texas Tech,317,,,,
,,,,TexasTech,317,,,,
,,,,CIT,318,,,,
,,,,Citadel,318,,,,
,,,,The Citadel,318,,,,
,,,,TOL,319,,,,
,,,,Toledo,319,,,,
,,,,TOW,320,,,,
,,,,Towson,320,,,,
,,,,TROY,321,,,,
,,,,Troy,321,,,,
,,,,TULN,322,,,,
,,,,Tulane,322,,,,
,,,,TLSA,323,,,,
,,,,Tulsa,323,,,,
,,,,UAB,324,,,,
,,,,UC Davis,325,,,,
,,,,UCD,325,,,,
,,,,UC-Davis,325,,,,
,,,,UC Irvine,326,,,,
,,,,UCI,326,,,,
,,,,UC-Irvine,326,,,,
,,,,UC Riverside,327,,,,
,,,,UCR,327,,,,
,,,,UC San Diego,328,,,,
,,,,UCSD,328,,,,
,,,,UC-San Diego,328,,,,
,,,,UC Santa Barbara,329,,,,
,,,,UCSB,329,,,,
,,,,UCF,330,,,,
,,,,UCLA,331,,,,
,,,,UMBC,332,,,,
,,,,KC,333,,,,
,,,,Kansas City,333,,,,
,,,,Missouri KC,333,,,,
,,,,Missouri KC,333,,,,
,,,,Missouri Kansas City,333,,,,
,,,,UMKC,333,,,,
,,,,MA Lowell,334,,,,
,,,,MA Lowell,334,,,,
,,,,Massachusetts Lowell,334,,,,
,,,,UML,334,,,,
,,,,UMass Lowell,334,,,,
,,,,NC Ash,335,,,,
,,,,NC Asheville,335,,,,
,,,,North Carolina Asheville,335,,,,
,,,,UNC Asheville,335,,,,
,,,,UNCA,335,,,,
,,,,NC Greensboro,336,,,,
,,,,North Carolina Greensboro,336,,,,
,,,,UNC Greensboro,336,,,,
,,,,UNCG,336,,,,
,,,,NC Wilmington,337,,,,
,,,,North Carolina Wilmington,337,,,,
,,,,UNC Wilmington,337,,,,
,,,,UNCW,337,,,,
,,,,UNLV,338,,,,
,,,,USC,339,,,,
,,,,SC Upstate,340,,,,
,,,,South Carolina Upstate,340,,,,
,,,,UPST,340,,,,
,,,,USC Upstate,340,,,,
,,,,USC(A) 32 Wisconsin,341,,,,
,,,,Texas Arlington,342,,,,
,,,,UT Arlington,342,,,,
,,,,UT Arlington,342,,,,
,,,,UT Arlington,342,,,,
,,,,UTA,342,,,,
,,,,RGV,343,,,,
,,,,Texas Pan American,343,,,,
,,,,UT Rio Grande Valley,343,,,,
,,,,UTRGV,343,,,,
,,,,UTEP,344,,,,
,,,,UT San Antonio,345,,,,
,,,,UT San Antonio,345,,,,
,,,,UTSA,345,,,,
,,,,UTAH,346,,,,
,,,,Utah,346,,,,
,,,,USU,347,,,,
,,,,Utah St,347,,,,
,,,,Utah St.,347,,,,
,,,,Utah State,347,,,,
,,,,UTU,348,,,,
,,,,Dixie St.,348,,,,
,,,,Utah Tech,348,,,,
,,,,UVU,349,,,,
,,,,Utah Valley,349,,,,
,,,,Utah Valley St.,349,,,,
,,,,VCU,350,,,,
,,,,VMI,351,,,,
,,,,Virginia Military,351,,,,
,,,,VAL,352,,,,
,,,,Valparaiso,352,,,,
,,,,VAN,353,,,,
,,,,Vanderbilt,353,,,,
,,,,UVM,354,,,,
,,,,Vermont,354,,,,
,,,,VILL,355,,,,
,,,,Villanova,355,,,,
,,,,UVA,356,,,,
,,,,Virginia,356,,,,
,,,,VT,357,,,,
,,,,Virginia Tech,357,,,,
,,,,VirginiaTech,357,,,,
,,,,WAG,358,,,,
,,,,Wagner,358,,,,
,,,,WAKE,359,,,,
,,,,Wake Forest,359,,,,
,,,,WASH,360,,,,
,,,,Washington,360,,,,
,,,,WSU,361,,,,
,,,,Washington St.,361,,,,
,,,,Washington State,361,,,,
,,,,Washington St,361,,,,
,,,,Washington(H) 72 Oregon,362,,,,
,,,,WEB,363,,,,
,,,,Weber St,363,,,,
,,,,Weber St.,363,,,,
,,,,Weber State,363,,,,
,,,,WGA,364,,,,
,,,,West Georgia,364,,,,
,,,,West Georgia,364,,,,
,,,,West Georgia,364,,,,
,,,,WVU,365,,,,
,,,,West Virginia,365,,,,
,,,,W Carolina,366,,,,
,,,,WCU,366,,,,
,,,,Western Carolina,366,,,,
,,,,W Illinois,367,,,,
,,,,W Illinois,367,,,,
,,,,WIU,367,,,,
,,,,Western Illinois,367,,,,
,,,,WKU,368,,,,
,,,,WKU,368,,,,
,,,,Western Kentucky,368,,,,
,,,,W Michigan,369,,,,
,,,,W Michigan,369,,,,
,,,,WMU,369,,,,
,,,,Western Michigan,369,,,,
,,,,WICH,370,,,,
,,,,Wichita St,370,,,,
,,,,Wichita St.,370,,,,
,,,,Wichita State,370,,,,
,,,,W&M,371,,,,
,,,,William & Mary,371,,,,
,,,,Winston Salem St.,372,,,,
,,,,W Salem St,372,,,,
,,,,Winston Salem St,372,,,,
,,,,WSSU,372,,,,
,,,,WIN,373,,,,
,,,,Winthrop,373,,,,
,,,,WIS,374,,,,
,,,,Wisconsin,374,,,,
,,,,Wisconsin(H) 57 USC,375,,,,
,,,,WOF,376,,,,
,,,,Wofford,376,,,,
,,,,WRST,377,,,,
,,,,Wright St,377,,,,
,,,,Wright St.,377,,,,
,,,,Wright State,377,,,,
,,,,WrightState,377,,,,
,,,,WYO,378,,,,
,,,,Wyoming,378,,,,
,,,,XAV,379,,,,
,,,,Xavier,379,,,,
,,,,YALE,380,,,,
,,,,Yale,380,,,,
,,,,YSU,381,,,,
,,,,Youngstown St.,381,,,,
,,,,Youngstown State,381,,,,
,,,,Youngstown St,381,,,,